City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Zabul Province,32.25,67.25,36.01,62,100,5.12,AF,1643499952
1,Ushuaia,-54.8,-68.3,44.26,87,100,13.8,AR,1643499462
2,New Norfolk,-42.7826,147.0587,73.65,33,13,2.01,AU,1643499466
3,Tiksi,71.6872,128.8694,-9.49,98,56,4.25,RU,1643499261
4,Arlit,18.7369,7.3853,61.97,16,1,6.67,NE,1643499955
5,Rikitea,-23.1203,-134.9692,77.09,70,99,9.69,PF,1643499462
6,Kununurra,-15.7667,128.7333,82.38,83,75,10.36,AU,1643499887
7,Bud,39.447,-86.1758,25.68,67,64,5.73,US,1643499956
8,Mataura,-46.1927,168.8643,58.53,96,100,3.2,NZ,1643499469
9,Ozernovskiy,51.5,156.5167,25.39,90,100,21.88,RU,1643499957
10,Cherskiy,68.75,161.3,-25.91,99,71,2.26,RU,1643499765
11,Yumen,40.2833,97.2,11.53,67,0,7.65,CN,1643499957
12,Upernavik,72.7868,-56.1549,2.34,95,100,10.67,GL,1643499958
13,Flinders,-34.5833,150.8552,84.18,67,96,4.0,AU,1643499958
14,Alugan,12.2188,125.4808,78.19,91,35,4.59,PH,1643499958
15,Husavik,66.0449,-17.3389,33.71,79,65,17.54,IS,1643499959
16,Avarua,-21.2078,-159.775,82.45,78,63,12.66,CK,1643499481
17,Hermanus,-34.4187,19.2345,66.79,80,1,11.32,ZA,1643499472
18,Khatanga,71.9667,102.5,-5.49,98,100,7.38,RU,1643499492
19,Leningradskiy,69.3833,178.4167,-9.69,90,60,5.1,RU,1643499473
20,Kapaa,22.0752,-159.319,81.48,65,0,4.0,US,1643499471
21,Saint Anthony,45.0205,-93.218,27.14,67,0,1.99,US,1643499478
22,Coahuayana Viejo,18.7333,-103.6833,81.03,57,0,4.41,MX,1643499698
23,Hobart,-42.8794,147.3294,74.01,59,75,3.0,AU,1643499376
24,Jamestown,42.097,-79.2353,9.72,85,0,3.44,US,1643499290
25,Barrow,71.2906,-156.7887,-5.78,77,100,13.8,US,1643499973
26,São Filipe,14.8961,-24.4956,70.83,71,100,9.53,CV,1643499976
27,Geraldton,-28.7667,114.6,75.61,73,0,8.05,AU,1643499976
28,Kirillov,59.863,38.3813,5.09,100,100,4.97,RU,1643499977
29,Tuktoyaktuk,69.4541,-133.0374,-7.6,77,75,17.27,CA,1643499475
30,Illapel,-31.6308,-71.1653,65.77,72,0,5.5,CL,1643499977
31,Ancud,-41.8697,-73.8203,59.43,93,71,13.85,CL,1643499978
32,Saint George,37.1041,-113.5841,57.63,14,0,3.0,US,1643499983
33,Adrar,20.5022,-10.0711,75.36,12,100,9.78,MR,1643499983
34,Bluff,-46.6,168.3333,60.19,82,100,8.08,NZ,1643499984
35,Evensk,61.95,159.2333,19.11,78,100,10.98,RU,1643499984
36,Havøysund,70.9963,24.6622,22.08,73,94,5.82,NO,1643499984
37,Phan Thiet,10.9333,108.1,73.67,83,76,2.86,VN,1643499834
38,Bredasdorp,-34.5322,20.0403,66.27,88,3,2.3,ZA,1643499985
39,Lebu,-37.6167,-73.65,60.17,83,1,9.33,CL,1643499969
40,Yingkou,40.6648,122.2283,16.9,52,0,2.15,CN,1643499986
41,Caravelas,-17.7125,-39.2481,78.87,83,0,10.38,BR,1643499986
42,Fortuna,40.5982,-124.1573,59.86,80,0,1.01,US,1643499986
43,Nanortalik,60.1432,-45.2371,20.77,69,100,26.37,GL,1643499478
44,Dikson,73.5069,80.5464,7.09,94,99,20.07,RU,1643499477
45,Bethel,41.3712,-73.414,19.29,60,100,5.99,US,1643499852
46,Kahului,20.8947,-156.47,84.22,52,20,17.27,US,1643499987
47,Vaini,-21.2,-175.2,81.64,77,100,12.75,TO,1643499460
48,Matadi,-5.8167,13.45,76.89,94,100,1.72,CD,1643499988
49,Alice Springs,-23.7,133.8833,78.35,89,100,14.97,AU,1643499912
50,Batagay-Alyta,67.8006,130.4114,-20.81,96,69,4.81,RU,1643499989
51,Samarai,-10.6167,150.6667,81.14,75,100,6.64,PG,1643500049
52,Biak,-0.9131,122.8766,80.49,70,99,2.21,ID,1643500049
53,Punta Arenas,-53.15,-70.9167,51.91,50,75,13.8,CL,1643499464
54,Pitimbu,-7.4706,-34.8086,77.59,80,74,7.54,BR,1643500050
55,Albany,42.6001,-73.9662,10.63,62,100,10.0,US,1643499909
56,Ponta Delgada,37.7333,-25.6667,58.5,72,40,3.44,PT,1643500050
57,Kiama,-34.6833,150.8667,84.38,68,94,5.01,AU,1643500051
58,Oparino,59.8518,48.2783,8.76,96,99,5.44,RU,1643500052
59,Torbay,47.6666,-52.7314,35.28,96,100,21.85,CA,1643499475
60,Kisi,9.0833,3.85,74.48,18,83,4.97,NG,1643500052
61,Thompson,55.7435,-97.8558,-5.64,84,20,0.0,CA,1643499471
62,Linqu,36.5156,118.5397,28.02,40,0,1.97,CN,1643500052
63,Provideniya,64.3833,-173.3,4.68,86,10,3.29,RU,1643500053
64,Te Anau,-45.4167,167.7167,57.36,94,100,0.27,NZ,1643500053
65,Impfondo,1.6381,18.0667,71.47,36,35,1.74,CG,1643500054
66,Olafsvik,64.8945,-23.7142,38.07,63,100,25.52,IS,1643500054
67,Bariloche,-41.1456,-71.3082,65.95,39,40,25.32,AR,1643500054
68,Praia,14.9215,-23.5087,70.34,68,75,13.8,CV,1643500055
69,Shubarkuduk,49.1447,56.4872,12.6,96,100,5.79,KZ,1643500055
70,Nome,64.5011,-165.4064,-9.33,64,0,3.44,US,1643500056
71,Holbæk,55.7167,11.7167,42.08,74,91,37.0,DK,1643500056
72,Ojinaga,29.5667,-104.4167,63.57,41,0,0.0,MX,1643499493
73,Bedford,52.1346,-0.4663,44.31,75,21,12.03,GB,1643500056
74,Coquimbo,-29.9533,-71.3436,65.93,77,40,12.66,CL,1643500057
75,Puerto Ayora,-0.7393,-90.3518,74.93,76,26,6.6,EC,1643499317
76,Qaanaaq,77.484,-69.3632,4.3,83,100,9.69,GL,1643499474
77,Butaritari,3.0707,172.7902,82.51,71,54,18.99,KI,1643499477
78,Manta,-0.95,-80.7333,78.58,83,75,3.44,EC,1643500057
79,Saint Paul Harbor,57.79,-152.4072,35.11,55,0,21.85,US,1643500058
80,Pacific Grove,36.6177,-121.9166,69.48,54,0,1.01,US,1643500058
81,Saint-Philippe,-21.3585,55.7679,74.79,85,47,10.69,RE,1643499470
82,Lavrentiya,65.5833,-171.0,-1.37,83,2,3.74,RU,1643499486
83,Kavieng,-2.5744,150.7967,83.59,72,100,5.66,PG,1643500059
84,Novikovo,51.1537,37.8879,22.96,95,99,10.25,RU,1643500059
85,Coyhaique,-45.5752,-72.0662,54.21,76,75,6.91,CL,1643499778
86,Maragogi,-9.0122,-35.2225,76.17,79,99,4.68,BR,1643500059
87,Port Alfred,-33.5906,26.891,68.9,87,35,9.06,ZA,1643500060
88,Bilibino,68.0546,166.4372,-1.86,87,100,2.62,RU,1643500060
89,Cape Town,-33.9258,18.4232,68.41,70,0,7.0,ZA,1643499434
90,Port Hardy,50.6996,-127.4199,47.75,87,100,18.41,CA,1643500061
91,Atuona,-9.8,-139.0333,77.72,79,13,11.43,PF,1643500061
92,Kanniyākumāri,8.0833,77.5667,77.56,81,28,16.42,IN,1643500061
93,Peace River,56.2501,-117.286,32.31,80,100,4.61,CA,1643500062
94,Marawi,7.9986,124.2928,67.64,88,93,1.21,PH,1643500062
95,Matagami,49.7502,-77.6328,3.31,85,100,9.22,CA,1643500056
96,Launceston,-41.45,147.1667,71.62,61,1,7.0,AU,1643500062
97,Ribeira Grande,38.5167,-28.7,58.86,73,35,5.66,PT,1643500063
98,Portel,-1.9356,-50.8211,72.48,97,100,2.71,BR,1643500063
99,Bataiporã,-22.2953,-53.2711,71.49,95,21,2.75,BR,1643500064
100,Busselton,-33.65,115.3333,71.04,72,11,13.89,AU,1643499466
101,Meulaboh,4.1363,96.1285,75.52,91,63,5.06,ID,1643500064
102,Cabadiangan,9.7531,122.4739,80.83,78,33,2.8,PH,1643500124
103,Belyy Yar,53.6039,91.3903,-18.51,69,40,0.0,RU,1643500125
104,Krasnosel'kup,65.7,82.4667,-14.46,99,99,8.3,RU,1643500125
105,Banda Aceh,5.5577,95.3222,79.02,77,90,5.06,ID,1643500125
106,Solwezi,-12.1688,26.3894,61.93,98,100,4.56,ZM,1643500126
107,Castro,-24.7911,-50.0119,59.81,99,100,6.91,BR,1643500126
108,George Town,5.4112,100.3354,80.89,91,20,0.0,MY,1643500126
109,Songjianghe,42.1859,127.479,3.72,83,6,5.17,CN,1643500127
110,Cayenne,4.9333,-52.3333,79.09,86,0,0.0,GF,1643500127
111,Pauini,-7.7136,-66.9764,73.8,98,94,0.78,BR,1643500128
112,Lüderitz,-26.6481,15.1594,67.44,78,74,7.54,NA,1643500128
113,Mirwah,13.9228,43.9176,63.82,80,62,2.33,YE,1643500128
114,Menfi,37.6066,12.9678,52.18,78,24,8.25,IT,1643500129
115,Yueyang,29.3333,113.0919,33.44,91,41,4.56,CN,1643500129
116,Parkersburg,39.2667,-81.5615,20.01,38,0,3.44,US,1643499894
117,Ocós,14.5094,-92.1933,82.9,70,41,7.38,GT,1643500129
118,Nikolskoye,59.7035,30.7861,27.72,87,100,16.28,RU,1643500130
119,Hambantota,6.1241,81.1185,77.79,82,78,7.54,LK,1643500130
120,Hong Kong,22.2855,114.1577,58.24,81,80,1.01,HK,1643499957
121,Cam Ranh,11.9214,109.1591,73.36,88,20,1.14,VN,1643500131
122,Hilo,19.7297,-155.09,82.13,52,40,10.36,US,1643499946
123,Isangel,-19.55,169.2667,78.91,94,90,10.36,VU,1643500131
124,Ismailia,30.6043,32.2723,52.32,69,65,7.11,EG,1643499870
125,Pevek,69.7008,170.3133,-17.34,99,95,3.71,RU,1643500132
126,Bambous Virieux,-20.3428,57.7575,79.05,78,40,6.91,MU,1643500132
127,Kavaratti,10.5669,72.642,80.42,74,54,8.3,IN,1643500132
128,Oak Ridge,36.0104,-84.2696,29.43,46,5,1.01,US,1643499846
129,Shellbrook,53.2168,-106.4011,16.83,98,30,4.68,CA,1643500133
130,East London,-33.0153,27.9116,69.28,86,67,7.05,ZA,1643500013
131,Teya,60.3778,92.6267,-0.92,100,99,2.68,RU,1643500133
132,Vila Velha,-20.3297,-40.2925,79.95,85,20,8.01,BR,1643500020
133,Puerto Escondido,15.85,-97.0667,80.58,68,0,3.49,MX,1643500134
134,Hasaki,35.7333,140.8333,39.29,55,67,19.89,JP,1643500134
135,Saravan,39.7196,45.6483,12.85,89,79,6.15,AM,1643500134
136,Norman Wells,65.282,-126.8329,-25.56,68,75,0.0,CA,1643500135
137,Waipawa,-41.4122,175.5153,72.23,44,36,9.04,NZ,1643500135
138,Kulhudhuffushi,6.6221,73.07,81.97,74,97,17.92,MV,1643500136
139,Marsabit,2.3284,37.9899,66.83,59,28,7.81,KE,1643500136
140,Dingle,10.9995,122.6711,79.03,83,11,1.21,PH,1643500136
141,Emerald,-23.5333,148.1667,84.34,54,13,10.36,AU,1643500137
142,Mahébourg,-20.4081,57.7,79.09,78,40,6.91,MU,1643500138
143,Malé,4.1748,73.5089,82.35,74,75,6.91,MV,1643500138
144,Osmeña,10.5208,119.9258,79.7,79,13,2.51,PH,1643500139
145,Waingapu,-9.6567,120.2641,81.95,76,100,11.54,ID,1643500139
146,Hithadhoo,-0.6,73.0833,80.82,68,76,3.85,MV,1643500139
147,Nizhniy Tsasuchey,50.5167,115.1333,-13.61,96,14,5.59,RU,1643500139
148,Ko Samui,9.5357,99.9357,80.89,75,17,8.12,TH,1643500140
149,Saldanha,-33.0117,17.9442,64.45,84,0,13.91,ZA,1643500140
150,Mar del Plata,-38.0023,-57.5575,78.82,47,0,6.91,AR,1643500140
151,Faanui,-16.4833,-151.75,80.76,71,18,8.19,PF,1643500141
152,Santarém,-2.4431,-54.7083,77.13,94,75,10.36,BR,1643500091
153,Cidreira,-30.1811,-50.2056,71.65,63,32,12.3,BR,1643500201
154,Katsuura,35.1333,140.3,44.19,61,64,18.21,JP,1643500202
155,Standerton,-26.9337,29.2415,60.62,85,98,7.83,ZA,1643500202
156,Vao,-22.6667,167.4833,79.39,85,61,13.91,NC,1643500203
157,Inverell,-29.7833,151.1167,84.67,55,33,4.0,AU,1643500203
158,Airai,-8.9266,125.4092,64.87,83,100,3.71,TL,1643500203
159,Chui,-33.6971,-53.4616,66.6,77,12,8.01,UY,1643500204
160,Lithakia,37.7167,20.8333,45.77,66,64,21.18,GR,1643500204
161,Baryshivka,50.361,31.3217,29.26,89,100,12.62,UA,1643500205
